CATEGORIA;PRODUCTS;Pto fusión [°F];Cp sobre pto cong. [Btu/lb°F];Cp debajo pto cong. [Btu/lb°F];Latente [Btu/lb];0;5,00 ;10;15;20
huevos;Huevo entero deshidratado;FALTA;0,49;0,48;4;0;0;0;0;0
huevos;Huevo llema;30,9;0,73;0,54;70;0;0;0;0;0
cordero;Cordero cortes magros;28,6;0,86;0,51;105;0;0;0;0;0
cordero;Cordero, pierna;FALTA;0,86;0,51;107;0;0;0;0;0
productos diarios;Mantequilla;FALTA;0,57;0,63;26;0;0;0;0;0
lacteos;Crema de leche;28;0,86;0,53;106;0;0;0;0;0
lacteos;Leche condensada;5;0,56;0,56;39;0;0;0;0;0
lacteos;Leche descremada;FALTA;0,94;0,43;130;0;0;0;0;0
lacteos;Leche entera;30,9;0,93;0,43;126;0;0;0;0;0
lacteos;Leche evaporada;29,5;0,85;0,5;106;0;0;0;0;0
lacteos;Leche, suero o crema agria;FALTA;0,4;0,4;5;0;0;0;0;0
lacteos;Queso americano procesado;19,6;0,67;0,66;56;0;0;0;0;0
lacteos;Queso camember;FALTA;0,74;0,8;74;0;0;0;0;0
lacteos;Queso cheddar;8,8;0,66;0,73;53;0;0;0;0;0
lacteos;Queso cottage, descremado;29,8;0,89;0,48;114;0;0;0;0;0
lacteos;Queso crema;FALTA;0,75;0,7;77;0;0;0;0;0
lacteos;Queso gouda;FALTA;0,69;0,66;59;0;0;0;0;0
lacteos;Queso limburger;18,7;0,72;0,67;70;0;0;0;0;0
lacteos;Queso mozzarella;FALTA;0,75;0,59;78;0;0;0;0;0
lacteos;Queso parmesano;FALTA;0,62;0,7;42;0;0;0;0;0
lacteos;Queso roquefort;2,7;0,67;0,8;57;0;0;0;0;0
lacteos;Queso suizo;14;0,66;0,69;53;0;0;0;0;0
helados;Helado de chocolate;21,9;0,74;0,66;80;0;0;0;0;0
helados;Helado de fresa;21,9;0,76;0,65;86;0;0;0;0;0
helados;Helado de vainilla;21,9;0,77;0,65;88;0;0;0;0;0
frutos secos;Almendras;FALTA;0,53;0,53;6;0;0;0;0;0
frutos secos;Avellanas;FALTA;0,5;0,5;8;0;0;0;0;0
frutos secos;Maní;FALTA;0,53;0,53;9;0;0;0;0;0
frutos secos;Maní tostado salado;FALTA;0,5;0,5;2;0;0;0;0;0
dulces;Caramelos;FALTA;0,45;0,45;15;0;0;0;0;0
dulces;Chocolates (con leche);FALTA;0,44;0,44;2;0;0;0;0;0
dulces;Marsmallows;FALTA;0,48;0,48;24;0;0;0;0;0
jugos y bebidas;Bebida de achocolatada;FALTA;0,9;0,44;120;0;0;0;0;0
jugos y bebidas;Club Soda;FALTA;1;0,39;144;0;0;0;0;0
jugos y bebidas;Cola;FALTA;0,93;0,42;129;0;0;0;0;0
jugos y bebidas;Ginger ale;FALTA;0,94;0,41;131;0;0;0;0;0
jugos y bebidas;Jugo de arándano;FALTA;0,89;0,44;119;0;0;0;0;0
jugos y bebidas;Jugo de ciruela;FALTA;0,89;0,45;117;0;0;0;0;0
jugos y bebidas;Jugo de limón;FALTA;0,95;0,41;133;0;0;0;0;0
jugos y bebidas;Jugo de manzana, sin azucar;FALTA;0,92;0,43;126;0;0;0;0;0
jugos y bebidas;Jugo de naranja;31,3;0,93;0,42;128;0;0;0;0;0
jugos y bebidas;Jugo de piña, sin azucar;FALTA;0,91;0,43;123;0;0;0;0;0
jugos y bebidas;Jugo de pomelo, con azucar;FALTA;0,92;0,43;126;0;0;0;0;0
jugos y bebidas;Jugo de tomate;FALTA;0,96;0,41;135;0;0;0;0;0
jugos y bebidas;Jugo de uva, sin azucar;FALTA;0,9;0,43;121;0;0;0;0;0
jugos y bebidas;Limonada;FALTA;0,93;0,42;129;0;0;0;0;0
miscelaneos;Miel;FALTA;0,48;0,48;25;0;0;0;0;0
miscelaneos;Miel de maple;FALTA;0,58;0,58;46;0;0;0;0;0
